customer_id,first_name,last_name,email,phone,signup_date
1,Name1,Surname1,user1@example.com,+919367646566,2021-01-01
2,Name2,Surname2,user2@example.com,+917772219600,2021-01-16
3,Name3,Surname3,user3@example.com,+919954610742,2021-01-31
4,Name4,Surname4,user4@example.com,+918362459500,2021-02-15
5,Name5,Surname5,user5@example.com,+917706044455,2021-03-02
6,Name6,Surname6,user6@example.com,+918021233080,2021-03-17
7,Name7,Surname7,user7@example.com,+918130768869,2021-04-01
8,Name8,Surname8,user8@example.com,+919487844570,2021-04-16
9,Name9,Surname9,user9@example.com,+919897843696,2021-05-01
10,Name10,Surname10,user10@example.com,+919554326048,2021-05-16
11,Name11,Surname11,user11@example.com,+918959392968,2021-05-31
12,Name12,Surname12,user12@example.com,+918937471029,2021-06-15
13,Name13,Surname13,user13@example.com,+919365751534,2021-06-30
14,Name14,Surname14,user14@example.com,+917176697189,2021-07-15
15,Name15,Surname15,user15@example.com,+917802988464,2021-07-30
16,Name16,Surname16,user16@example.com,+917905152403,2021-08-14
17,Name17,Surname17,user17@example.com,+917827216130,2021-08-29
18,Name18,Surname18,user18@example.com,+918003979915,2021-09-13
19,Name19,Surname19,user19@example.com,+917059360932,2021-09-28
20,Name20,Surname20,user20@example.com,+918881810803,2021-10-13
21,Name21,Surname21,user21@example.com,+918157218164,2021-10-28
22,Name22,Surname22,user22@example.com,+918915940667,2021-11-12
23,Name23,Surname23,user23@example.com,+919241523855,2021-11-27
24,Name24,Surname24,user24@example.com,+919882490919,2021-12-12
25,Name25,Surname25,user25@example.com,+919243783569,2021-12-27
26,Name26,Surname26,user26@example.com,+918254803989,2022-01-11
27,Name27,Surname27,user27@example.com,+919556358533,2022-01-26
28,Name28,Surname28,user28@example.com,+918527987895,2022-02-10
29,Name29,Surname29,user29@example.com,+918817092282,2022-02-25
30,Name30,Surname30,user30@example.com,+918955095607,2022-03-12
31,Name31,Surname31,user31@example.com,+918069909744,2022-03-27
32,Name32,Surname32,user32@example.com,+919663925106,2022-04-11
33,Name33,Surname33,user33@example.com,+917875775911,2022-04-26
34,Name34,Surname34,user34@example.com,+919816782518,2022-05-11
35,Name35,Surname35,user35@example.com,+917531555141,2022-05-26
36,Name36,Surname36,user36@example.com,+917310290009,2022-06-10
37,Name37,Surname37,user37@example.com,+919473574342,2022-06-25
38,Name38,Surname38,user38@example.com,+918466150501,2022-07-10
39,Name39,Surname39,user39@example.com,+917951922564,2022-07-25
40,Name40,Surname40,user40@example.com,+917607000373,2022-08-09
41,Name41,Surname41,user41@example.com,+917878458894,2022-08-24
42,Name42,Surname42,user42@example.com,+919158639644,2022-09-08
43,Name43,Surname43,user43@example.com,+919573809771,2022-09-23
44,Name44,Surname44,user44@example.com,+919665190946,2022-10-08
45,Name45,Surname45,user45@example.com,+918599603243,2022-10-23
46,Name46,Surname46,user46@example.com,+917541023024,2022-11-07
47,Name47,Surname47,user47@example.com,+918542252518,2022-11-22
48,Name48,Surname48,user48@example.com,+918785069815,2022-12-07
49,Name49,Surname49,user49@example.com,+917264801953,2022-12-22
50,Name50,Surname50,user50@example.com,+918066547543,2023-01-06
51,Name51,Surname51,user51@example.com,+917143460922,2023-01-21
52,Name52,Surname52,user52@example.com,+917463112809,2023-02-05
53,Name53,Surname53,user53@example.com,+918746309355,2023-02-20
54,Name54,Surname54,user54@example.com,+918710201938,2023-03-07
55,Name55,Surname55,user55@example.com,+919897262594,2023-03-22
56,Name56,Surname56,user56@example.com,+919777273354,2023-04-06
57,Name57,Surname57,user57@example.com,+919051302778,2023-04-21
58,Name58,Surname58,user58@example.com,+917759594758,2023-05-06
59,Name59,Surname59,user59@example.com,+919987376628,2023-05-21
60,Name60,Surname60,user60@example.com,+917703508138,2023-06-05
